#Gumbel
#Command used:	python transit.py
#FDR Corrected thresholds: 0.989800, 0.038400
#MH Acceptance-Rate:	45.72%
#Total Iterations Performed:	10499
#Sample Size:	10000
#phi estimate:	0.280561
#Time: 143.290342808
#Orf	Name	Desc	k	n	r	s	zbar	Call
Rv1989c	-	hypothetical protein Rv1989c 	10	10	0	0	0.000000	NE
Rv1990A	-	POSSIBLE DEHYDROGENASE (FRAGMENT) 	3	4	1	2	0.000000	NE
Rv1990c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	0	5	5	230	0.993800	E
Rv1991c	-	hypothetical protein Rv1991c 	4	4	0	0	-1.000000	S
Rv1992c	ctpG	PROBABLE METAL CATION TRANSPORTER P-TYPE ATPASE G CTPG 	26	31	2	51	0.000000	NE
Rv1993c	-	hypothetical protein Rv1993c 	3	4	1	2	-1.000000	S
Rv1994c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	1	6	3	87	0.000300	NE
Rv1995	-	hypothetical protein Rv1995 	6	7	1	2	0.000000	NE
Rv1996	-	hypothetical protein Rv1996 	9	12	2	21	0.000000	NE
Rv1997	ctpF	PROBABLE METAL CATION TRANSPORTER P-TYPE ATPASE A CTPF 	17	23	3	267	0.001400	NE
Rv1998c	-	hypothetical protein Rv1998c 	10	17	4	207	0.000100	NE
Rv1999c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	17	23	2	74	0.000000	NE
Rv2000	-	hypothetical protein Rv2000 	26	32	2	25	0.000000	NE
Rv2001	-	hypothetical protein Rv2001 	8	13	3	69	0.000000	NE
Rv2002	fabG3	POSSIBLE 20-BETA-HYDROXYSTEROID DEHYDROGENASE FABG3 (Cortisone reductase) ((R)-20-hydroxysteroid dehydrogenase) 	5	9	2	26	0.000000	NE
Rv2003c	-	hypothetical protein Rv2003c 	7	12	2	28	0.000000	NE
Rv2004c	-	hypothetical protein Rv2004c 	13	24	4	112	0.000000	NE
Rv2005c	-	hypothetical protein Rv2005c 	6	10	2	145	0.000000	NE
Rv2006	otsB1	PROBABLE TREHALOSE-6-PHOSPHATE PHOSPHATASE OTSB1 (TREHALOSE-PHOSPHATASE) (TPP) 	33	78	17	722	1.000000	E
Rv2007c	fdxA	PROBABLE FERREDOXIN FDXA 	6	7	1	2	0.000000	NE
Rv2008c	-	hypothetical protein Rv2008c 	16	27	6	113	0.000000	NE
Rv2009	-	hypothetical protein Rv2009 	1	2	1	2	-1.000000	S
Rv2010	-	hypothetical protein Rv2010 	6	7	1	2	0.000000	NE
Rv2011c	-	hypothetical protein Rv2011c 	5	6	1	2	0.000000	NE
Rv2012	-	hypothetical protein Rv2012 	7	10	2	22	0.000000	NE
Rv2013	-	POSSIBLE TRANSPOSASE 	0	2	2	350	-1.000000	S
Rv2014	-	POSSIBLE TRANSPOSASE 	3	4	1	2	0.000000	NE
Rv2015c	-	hypothetical protein Rv2015c 	2	3	1	2	-1.000000	S
Rv2016	-	hypothetical protein Rv2016 	5	7	1	2	0.000000	NE
Rv2017	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	0	12	12	878	1.000000	E
Rv2018	-	hypothetical protein Rv2018 	1	14	7	252	0.134700	U
Rv2019	-	hypothetical protein Rv2019 	6	6	0	0	0.000000	NE
Rv2020c	-	hypothetical protein Rv2020c 	4	4	0	0	0.000000	NE
Rv2021c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	3	5	2	139	0.000500	NE
Rv2022c	-	hypothetical protein Rv2022c 	11	13	2	18	0.000000	NE
Rv2023c	-	hypothetical protein Rv2023c 	2	2	0	0	-1.000000	S
Rv2024c	-	hypothetical protein Rv2024c 	10	12	1	2	0.000000	NE
Rv2025c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	7	10	2	107	0.000000	NE
Rv2026c	-	hypothetical protein Rv2026c 	3	9	3	176	0.000000	NE
Rv2027c	-	Probable histidine kinase response regulator 	13	14	1	2	0.000000	NE
Rv2028c	-	hypothetical protein Rv2028c 	7	11	3	192	0.000000	NE
Rv2029c	pfkB	Probable phosphofructokinase PfkB (PHOSPHOHEXOKINASE) 	8	9	1	2	0.000000	NE
Rv2030c	-	hypothetical protein Rv2030c 	21	32	2	31	0.000000	NE
Rv2031c	hspX	HEAT SHOCK PROTEIN HSPX (ALPHA-CRSTALLIN HOMOLOG) (14 kDa ANTIGEN) (HSP16.3) 	7	8	1	2	0.000000	NE
Rv2032	acg	Conserved hypothetical protein Acg 	10	17	3	96	0.000000	NE
Rv2033c	-	hypothetical protein Rv2033c 	7	10	1	2	0.000000	NE
Rv2034	-	Probable ArsR-type repressor protein 	1	2	1	2	-1.000000	S
Rv2035	-	hypothetical protein Rv2035 	9	12	2	22	0.000000	NE
Rv2036	-	hypothetical protein Rv2036 	4	7	2	166	0.000000	NE
Rv2037c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	9	16	5	206	0.000100	NE
Rv2038c	-	Probable sugar-transport ATP-binding protein ABC transporter 	4	16	5	241	0.003200	NE
Rv2039c	-	Probable sugar-transport integral membrane protein ABC transporter 	7	14	4	130	0.000000	NE
Rv2040c	-	Probable sugar-transport integral membrane protein ABC transporter 	8	16	4	60	0.000000	NE
Rv2041c	-	Probable sugar-binding lipoprotein 	15	21	2	28	0.000000	NE
Rv2042c	-	hypothetical protein Rv2042c 	6	14	5	91	0.000000	NE
Rv2043c	pncA	PYRAZINAMIDASE/NICOTINAMIDAS PNCA (PZase) 	8	11	2	40	0.000000	NE
Rv2044c	-	hypothetical protein Rv2044c 	5	7	1	2	0.000000	NE
Rv2045c	lipT	Probable carboxylesterase LipT 	14	27	4	89	0.000000	NE
Rv2046	lppI	Probable lipoprotein lppI 	9	10	1	2	0.000000	NE
Rv2047c	-	hypothetical protein Rv2047c 	4	30	12	680	0.998900	E
Rv2048c	pks12	Probable polyketide synthase pks12 	14	111	20	1666	1.000000	E
Rv2049c	-	hypothetical protein Rv2049c 	1	1	0	0	-1.000000	S
Rv2050	-	hypothetical protein Rv2050 	0	5	5	250	0.993200	E
Rv2051c	ppm1	Polyprenol-monophosphomannose synthase Ppm1 	11	32	18	1049	1.000000	E
Rv2052c	-	hypothetical protein Rv2052c 	17	19	1	2	0.000000	NE
Rv2053c	fxsA	FxsA 	2	3	1	2	-1.000000	S
Rv2054	-	hypothetical protein Rv2054 	14	15	1	2	0.000000	NE
Rv2055c	rpsR	30S ribosomal protein S18 	1	3	1	2	0.000000	NE
Rv2056c	rpsN	30S ribosomal protein S14 	3	3	0	0	-1.000000	S
Rv2057c	rpmG	50S ribosomal protein L33 	3	4	1	2	-1.000000	S
Rv2058c	rpmB	50S ribosomal protein L28 	4	5	1	2	-1.000000	S
Rv2059	-	hypothetical protein Rv2059 	15	17	1	2	0.000000	NE
Rv2060	-	Possible conserved integral membrane protein 	2	3	1	2	0.000000	NE
Rv2061c	-	hypothetical protein Rv2061c 	3	5	2	23	0.000000	NE
Rv2062c	cobN	cobaltochelatase 	27	46	7	775	0.718000	U
Rv2063	-	hypothetical protein Rv2063 	1	2	1	2	-1.000000	S
Rv2064	cobG	Possible cobalamin biosynthesis protein CobG 	2	8	6	386	0.917800	U
Rv2065	cobH	precorrin-8X methylmutase 	4	5	1	2	0.000000	NE
Rv2066	cobI	Probable bifunctional protein, CobI-CobJ fusion protein: S-adenosyl-L-methionine-precorrin-2 methyl transferase + precorrin-3 methylase 	15	20	2	11	0.000000	NE
Rv2067c	-	hypothetical protein Rv2067c 	15	31	7	242	0.016000	NE
Rv2068c	blaC	CLASS A BETA-LACTAMASE BLAC 	12	13	1	2	0.000000	NE
Rv2069	sigC	RNA polymerase sigma factor SigC 	6	8	1	2	0.000000	NE
Rv2070c	cobK	cobalt-precorrin-6x reductase 	7	15	3	60	0.000000	NE
Rv2071c	cobM	Probable precorrin-4 C11-methyltransferase CobM 	9	13	2	21	0.000000	NE
Rv2072c	cobL	Probable precorrin-6y methyltransferase CobL 	12	13	1	2	0.000000	NE
Rv2073c	-	Probable shortchain dehydrogenase 	8	8	0	0	0.000000	NE
Rv2074	-	hypothetical protein Rv2074 	4	5	1	2	0.000000	NE
Rv2075c	-	Possible hypothetical exported or envelope protein 	22	23	1	2	0.000000	NE
Rv2076c	-	hypothetical protein Rv2076c 	4	5	1	2	0.000000	NE
Rv2077A	-	hypothetical protein Rv2077A 	4	7	3	62	0.000000	NE
Rv2077c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	15	18	1	2	0.000000	NE
Rv2078	-	hypothetical protein Rv2078 	1	3	2	73	0.000000	NE
Rv2079	-	hypothetical protein Rv2079 	15	31	5	184	0.000000	NE
Rv2080	lppJ	Possible lipoprotein lppJ 	9	10	1	2	0.000000	NE
Rv2081c	-	POSSIBLE TRANSMEMBRANE PROTEIN 	6	7	1	2	0.000000	NE
Rv2082	-	hypothetical protein Rv2082 	21	34	5	428	0.190300	U
Rv2083	-	hypothetical protein Rv2083 	4	4	0	0	0.000000	NE
Rv2084	-	hypothetical protein Rv2084 	17	25	2	182	0.000000	NE
Rv2085	-	hypothetical protein Rv2085 	0	3	3	79	-1.000000	S
Rv2086	-	hypothetical protein Rv2086 	7	10	1	2	0.000000	NE
Rv2087	-	hypothetical protein Rv2087 	1	4	2	91	0.000800	NE
Rv2088	pknJ	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE J PKNJ (PROTEIN KINASE J) (STPK J) 	9	23	5	164	0.000000	NE
Rv2089c	pepE	Probable dipeptidase PepE 	10	19	5	258	0.012100	NE
Rv2090	-	Probable 5'-3' exonuclease 	13	15	1	2	0.000000	NE
Rv2091c	-	Probable membrane protein 	15	18	2	14	0.000000	NE
Rv2092c	helY	PROBABLE ATP-DEPENDENT DNA HELICASE HELY 	29	36	2	101	0.000000	NE
Rv2093c	tatC	Probable Sec-independent protein translocase transmembrane protein tatC 	0	11	11	680	0.999800	E
Rv2094c	tatA	twin argininte translocase protein A 	0	2	2	50	-1.000000	S
Rv2095c	-	hypothetical protein Rv2095c 	12	14	2	131	0.000000	NE
Rv2096c	-	hypothetical protein Rv2096c 	9	13	1	2	0.000000	NE
Rv2097c	-	hypothetical protein Rv2097c 	0	20	20	1167	1.000000	E
Rv2100	-	hypothetical protein Rv2100 	13	18	3	25	0.000000	NE
Rv2101	helZ	PROBABLE HELICASE HELZ 	20	27	2	19	0.000000	NE
Rv2102	-	hypothetical protein Rv2102 	9	11	2	83	0.000000	NE
Rv2103c	-	hypothetical protein Rv2103c 	4	5	1	2	0.000000	NE
Rv2104c	-	hypothetical protein Rv2104c 	1	1	0	0	-1.000000	S
Rv2105	-	PROBABLE TRANSPOSASE 	0	0	0	0	-1.000000	S
Rv2106	-	PROBABLE TRANSPOSASE 	0	0	0	0	-1.000000	S
Rv2107	PE22	PE FAMILY PROTEIN 	6	9	1	2	0.000000	NE
Rv2108	PPE36	PPE FAMILY PROTEIN 	15	19	3	90	0.000000	NE
Rv2109c	prcA	proteasome (alpha subunit) PrcA 	0	17	17	643	1.000000	E
Rv2110c	prcB	proteasome (beta subunit) PrcB 	0	16	16	628	1.000000	E
Rv2111c	-	hypothetical protein Rv2111c 	0	1	1	2	-1.000000	S
Rv2112c	-	hypothetical protein Rv2112c 	3	29	21	980	1.000000	E
Rv2113	-	Probable integral membrane protein 	9	11	2	68	0.000000	NE
Rv2114	-	hypothetical protein Rv2114 	11	12	1	2	0.000000	NE
Rv2115c	-	Probable ATPase 	1	23	13	678	0.999600	E
Rv2116	lppK	Probable conserved lipoprotein lppK 	4	5	1	2	0.000000	NE
Rv2117	-	hypothetical protein Rv2117 	2	2	0	0	-1.000000	S
Rv2118c	-	POSSIBLE RNA METHYLTRANSFERASE 	10	12	2	126	0.000000	NE
Rv2119	-	hypothetical protein Rv2119 	14	18	1	2	0.000000	NE
Rv2120c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	3	7	4	137	0.000000	NE
Rv2121c	hisG	ATP phosphoribosyltransferase 	0	9	9	578	0.997800	E
Rv2122c	hisE	phosphoribosyl-ATP pyrophosphatase 	0	2	2	93	-1.000000	S
Rv2123	PPE37	PPE FAMILY PROTEIN 	11	20	5	267	0.017900	NE
Rv2124c	metH	Probable 5-methyltetrahydrofolate--homocystein methyltransferase MetH (Methionine synthase, vitamin-B12 dependent isozyme) (MS) 	25	38	3	185	0.000000	NE
Rv2125	-	hypothetical protein Rv2125 	8	9	1	2	0.000000	NE
Rv2126c	PE_PGRS37	PE-PGRS FAMILY PROTEIN 	3	5	1	2	0.000000	NE
Rv2127	ansP1	Probable L-asparagine permease ansP1 	18	24	2	34	0.000000	NE
Rv2128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	4	6	2	19	-1.000000	S
Rv2129c	-	short chain dehydrogenase 	6	11	2	104	0.000000	NE
Rv2130c	cysS	cysteinyl-tRNA synthetase 	0	22	22	1109	1.000000	E
Rv2131c	cysQ	POSSIBLE MONOPHOSPHATASE CYSQ 	0	9	9	570	0.998300	E
Rv2132	-	hypothetical protein Rv2132 	2	2	0	0	-1.000000	S
Rv2133c	-	hypothetical protein Rv2133c 	9	9	0	0	0.000000	NE
Rv2134c	-	hypothetical protein Rv2134c 	5	7	1	2	0.000000	NE
Rv2135c	-	hypothetical protein Rv2135c 	1	4	2	60	0.000000	NE
Rv2136c	uppP	undecaprenyl pyrophosphate phosphatase 	7	12	2	143	0.000000	NE
Rv2137c	-	hypothetical protein Rv2137c 	5	6	1	2	0.000000	NE
Rv2138	lppL	Probable conserved lipoprotein LppL 	1	18	9	542	0.991500	E
Rv2139	pyrD	dihydroorotate dehydrogenase 2 	0	12	12	733	0.999900	E
Rv2140c	TB18.6	hypothetical protein Rv2140c 	7	9	1	2	0.000000	NE
Rv2141c	-	hypothetical protein Rv2141c 	14	18	1	2	0.000000	NE
Rv2142c	-	hypothetical protein Rv2142c 	10	13	1	2	0.000000	NE
Rv2143	-	hypothetical protein Rv2143 	13	13	0	0	0.000000	NE
Rv2144c	-	Probable transmembrane protein 	3	4	1	2	0.000000	NE
Rv2145c	wag31	CONSERVED HYPOTHETICAL PROTEIN WAG31 	0	10	10	636	0.999500	E
Rv2146c	-	Possible conserved transmembrane protein 	1	1	0	0	-1.000000	S
Rv2147c	-	hypothetical protein Rv2147c 	0	15	15	429	1.000000	E
Rv2148c	-	hypothetical protein Rv2148c 	1	5	3	114	0.000000	NE
Rv2149c	yfiH	conserved hypothetical protein YfiH 	3	5	1	2	0.000000	NE
Rv2150c	ftsZ	cell division protein FtsZ 	0	6	6	610	0.970400	U
Rv2151c	ftsQ	POSSIBLE CELL DIVISION PROTEIN FTSQ 	0	6	6	632	0.968800	U
Rv2152c	murC	UDP-N-acetylmuramate--L-alanine ligase 	0	14	14	1124	1.000000	E
Rv2153c	murG	N-acetylglucosaminyl transferase 	0	14	14	820	1.000000	E
Rv2154c	ftsW	FtsW-like protein FtsW 	1	15	14	1102	1.000000	E
Rv2155c	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase 	0	18	18	1099	1.000000	E
Rv2156c	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase 	0	9	9	588	0.998000	E
Rv2157c	murF	Probable UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate- D-alanyl-D-alanyl ligase MurF 	0	9	9	1220	0.999900	E
Rv2158c	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase 	0	10	10	891	0.999700	E
Rv2159c	-	hypothetical protein Rv2159c 	5	5	0	0	0.000000	NE
Rv2160A	-	hypothetical protein Rv2160A 	0	4	4	434	0.872100	U
Rv2160c	-	hypothetical protein Rv2160c 	0	2	2	39	-1.000000	S
Rv2161c	-	hypothetical protein Rv2161c 	7	8	1	2	0.000000	NE
Rv2162c	PE_PGRS38	PE-PGRS FAMILY PROTEIN 	9	13	1	2	0.000000	NE
Rv2163c	pbpB	Probable penicillin-binding membrane protein pbpB 	0	29	29	1546	1.000000	E
Rv2164c	-	PROBABLE CONSERVED PROLINE RICH MEMBRANE PROTEIN 	0	10	10	808	0.999600	E
Rv2165c	mraW	S-adenosyl-methyltransferase MraW 	0	18	18	878	1.000000	E
Rv2166c	-	hypothetical protein Rv2166c 	0	7	7	242	0.999200	E
Rv2167c	-	PROBABLE TRANSPOSASE 	0	0	0	0	-1.000000	S
Rv2168c	-	PROBABLE TRANSPOSASE 	0	0	0	0	-1.000000	S
Rv2169c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	0	5	5	316	0.989000	U
Rv2170	-	hypothetical protein Rv2170 	7	12	2	90	0.000000	NE
Rv2171	lppM	Probable conserved lipoprotein lppM 	6	8	1	2	0.000000	NE
Rv2172c	-	hypothetical protein Rv2172c 	0	16	16	731	1.000000	E
Rv2173	idsA2	PROBABLE GERANYLGERANYL PYROPHOSPHATE SYNTHETASE IDSA2 (GGPPSASE) (GGPP SYNTHETASE) (GERANYLGERANYL DIPHOSPHATE SYNTHASE) 	9	17	2	53	0.000000	NE
Rv2174	-	Possible conserved integral membrane protein 	0	22	22	1344	1.000000	E
Rv2175c	-	conserved hypothetical regulatory protein 	4	5	1	2	0.000000	NE
Rv2176	pknL	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE L PKNL (PROTEIN KINASE L) (STPK L) 	12	21	2	20	0.000000	NE
Rv2177c	-	POSSIBLE TRANSPOSASE 	3	4	1	2	-1.000000	S
Rv2178c	aroG	Probable 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase AroG (DAHP synthetase, phenylalanine-repressible) 	0	15	15	1014	1.000000	E
Rv2179c	-	hypothetical protein Rv2179c 	1	5	4	191	0.949700	U
Rv2180c	-	Probable conserved integral membrane protein 	9	11	1	2	0.000000	NE
Rv2181	-	Probable conserved integral membrane protein 	15	19	1	2	0.000000	NE
Rv2182c	-	1-acylglycerol-3-phosphate O-acyltransferase 	0	18	18	603	1.000000	E
Rv2183c	-	hypothetical protein Rv2183c 	3	4	1	2	0.000000	NE
Rv2184c	-	hypothetical protein Rv2184c 	11	16	1	2	0.000000	NE
Rv2185c	TB16.3	hypothetical protein Rv2185c 	8	13	1	2	0.000000	NE
Rv2186c	-	hypothetical protein Rv2186c 	0	8	8	321	0.999100	E
Rv2187	fadD15	Probable long-chain-fatty-acid-CoA ligase fadD15 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	31	1	2	0.000000	NE
Rv2188c	-	hypothetical protein Rv2188c 	0	16	16	931	1.000000	E
Rv2189c	-	hypothetical protein Rv2189c 	4	10	2	166	0.000000	NE
Rv2190c	-	hypothetical protein Rv2190c 	7	16	6	398	0.771800	U
Rv2191	-	hypothetical protein Rv2191 	16	25	2	4	0.000000	NE
Rv2192c	trpD	anthranilate phosphoribosyltransferase 	0	7	7	703	0.988400	U
Rv2193	ctaE	PROBABLE CYTOCHROME C OXIDASE (SUBUNIT III) CTAE 	0	14	14	463	1.000000	E
Rv2194	qcrC	Probable Ubiquinol-cytochrome C reductase QcrC(cytochrome C subunit) 	0	11	11	647	0.999800	E
Rv2195	qcrA	Probable Rieske iron-sulfur protein QcrA 	0	21	21	1147	1.000000	E
Rv2196	qcrB	Probable Ubiquinol-cytochrome C reductase QcrB (cytochrome B subunit) 	1	29	27	1284	1.000000	E
Rv2197c	-	Probable conserved transmembrane protein 	8	10	1	2	0.000000	NE
Rv2198c	mmpS3	PROBABLE CONSERVED MEMBRANE PROTEIN MMPS3 	1	14	11	506	0.999700	E
Rv2199c	-	Possible conserved integral membrane protein 	2	7	5	202	0.002300	NE
Rv2200c	ctaC	PROBABLE TRANSMEMBRANE CYTOCHROME C OXIDASE (SUBUNIT II) CTAC 	0	18	18	780	1.000000	E
Rv2201	asnB	Probable asparagine synthetase AsnB 	0	27	27	1562	1.000000	E
Rv2202c	cbhK	Probable carbohydrate kinase CbhK 	0	17	17	826	1.000000	E
Rv2203	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	12	1	2	0.000000	NE
Rv2204c	-	hypothetical protein Rv2204c 	0	4	4	130	-1.000000	S
Rv2205c	-	hypothetical protein Rv2205c 	8	9	1	2	0.000000	NE
Rv2206	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	4	9	2	10	0.000000	NE
Rv2207	cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase 	3	8	2	20	0.000000	NE
Rv2208	cobS	cobalamin synthase 	7	9	1	2	0.000000	NE
Rv2209	-	Probable conserved integral membrane protein 	18	23	2	34	0.000000	NE
Rv2210c	ilvE	branched-chain amino acid aminotransferase 	0	21	21	943	1.000000	E
Rv2211c	gcvT	glycine cleavage system aminomethyltransferase T 	0	17	17	694	1.000000	E
Rv2212	-	hypothetical protein Rv2212 	7	9	1	2	0.000000	NE
Rv2213	pepB	leucyl aminopeptidase 	6	12	4	221	0.000200	NE
Rv2214c	ephD	short chain dehydrogenase 	21	26	2	113	0.000000	NE
Rv2215	dlaT	dihydrolipoamide acetyltransferase 	0	13	13	1032	1.000000	E
Rv2216	-	hypothetical protein Rv2216 	4	11	3	104	0.000000	NE
Rv2217	lipB	lipoyltransferase 	1	9	8	514	0.994400	E
Rv2218	lipA	lipoyl synthase 	0	11	11	764	0.999800	E
Rv2219	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	0	7	7	640	0.990100	E
Rv2219A	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	1	2	1	2	-1.000000	S
Rv2220	glnA1	GLUTAMINE SYNTHETASE GLNA1 (GLUTAMINE SYNTHASE) (GS-I) 	0	25	25	1038	1.000000	E
Rv2221c	glnE	GLUTAMATE-AMMONIA-LIGASE ADENYLYLTRANSFERASE GLNE (Glutamine-synthetase adenylyltransferase) 	0	35	35	2248	1.000000	E
Rv2222c	glnA2	PROBABLE GLUTAMINE SYNTHETASE GLNA2 (GLUTAMINE SYNTHASE) (GS-II) 	9	15	1	2	0.000000	NE
Rv2223c	-	Probable exported protease 	24	27	1	2	0.000000	NE
Rv2224c	-	Probable exported protease 	22	26	2	13	0.000000	NE
Rv2225	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase 	0	11	11	718	0.999900	E
Rv2226	-	hypothetical protein Rv2226 	19	24	1	2	0.000000	NE
Rv2227	-	hypothetical protein Rv2227 	8	18	3	56	0.000000	NE
Rv2228c	-	hypothetical protein Rv2228c 	0	16	16	941	1.000000	E
Rv2229c	-	hypothetical protein Rv2229c 	0	4	4	471	0.854800	U
Rv2230c	-	hypothetical protein Rv2230c 	5	15	5	95	0.000000	NE
Rv2231c	cobC	hypothetical protein Rv2231c 	5	15	5	336	0.501300	U
Rv2232	-	hypothetical protein Rv2232 	6	10	2	246	0.000400	NE
Rv2234	ptpA	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPA (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) (LMW PHOSPHATASE) 	3	7	3	123	0.000000	NE
Rv2235	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	0	14	14	641	1.000000	E
Rv2236c	cobD	cobalamin biosynthesis protein 	5	10	4	325	0.445600	U
Rv2237	-	hypothetical protein Rv2237 	12	17	2	8	0.000000	NE
Rv2238c	ahpE	Probable peroxiredoxin AhpE 	1	4	2	126	0.000000	NE
Rv2239c	-	hypothetical protein Rv2239c 	4	4	0	0	0.000000	NE
Rv2240c	-	hypothetical protein Rv2240c 	6	11	2	31	0.000000	NE
Rv2241	aceE	pyruvate dehydrogenase subunit E1 	0	53	53	2379	1.000000	E
Rv2242	-	hypothetical protein Rv2242 	0	15	15	1034	1.000000	E
Rv2243	fabD	acyl-carrier-protein S-malonyltransferase 	0	5	5	714	0.926700	U
Rv2244	acpP	acyl carrier protein 	0	6	6	195	0.997500	E
Rv2245	kasA	3-oxoacyl-(acyl carrier protein) synthase II 	0	14	14	1021	1.000000	E
Rv2246	kasB	3-oxoacyl-(acyl carrier protein) synthase II 	0	14	14	1170	1.000000	E
Rv2247	accD6	ACETYL/PROPIONYL-CoA CARBOXYLASE (BETA SUBUNIT) ACCD6 	0	13	13	1111	1.000000	E
Rv2248	-	hypothetical protein Rv2248 	4	11	5	259	0.047400	U
Rv2249c	glpD1	PROBABLE GLYCEROL-3-PHOSPHATE DEHYDROGENASE GLPD1 	10	18	2	136	0.000000	NE
Rv2250A	-	POSSIBLE FLAVOPROTEIN 	1	3	2	109	0.000000	NE
Rv2250c	-	Possible transcriptional regulatory protein 	7	9	1	2	0.000000	NE
Rv2251	-	POSSIBLE FLAVOPROTEIN 	4	8	1	2	0.000000	NE
Rv2252	-	diacylglycerol kinase 	7	17	4	225	0.000300	NE
Rv2253	-	Possible secreted unknown protein 	10	12	1	2	0.000000	NE
Rv2254c	-	Probable integral membrane protein 	2	5	2	114	0.000300	NE
Rv2255c	-	hypothetical protein Rv2255c 	1	1	0	0	-1.000000	S
Rv2256c	-	hypothetical protein Rv2256c 	0	6	6	413	0.982000	U
Rv2257c	-	hypothetical protein Rv2257c 	5	7	1	2	0.000000	NE
Rv2258c	-	Possible transcriptional regulatory protein 	11	13	1	2	0.000000	NE
Rv2259	adhE2	Probable zinc-dependent alcohol dehydrogenase AdhE2 	4	13	5	470	0.652200	U
Rv2260	-	hypothetical protein Rv2260 	2	5	2	23	0.000000	NE
Rv2261c	-	hypothetical protein Rv2261c 	4	4	0	0	0.000000	NE
Rv2262c	-	hypothetical protein Rv2262c 	9	14	4	188	0.000100	NE
Rv2263	-	short chain dehydrogenase 	9	12	2	67	0.000000	NE
Rv2264c	-	conserved hypothetical proline rich protein 	18	26	3	82	0.000000	NE
Rv2265	-	Possible conserved integral membrane protein 	13	14	1	2	0.000000	NE
Rv2266	cyp124	Probable cytochrome P450 124 CYP124 	14	16	1	2	0.000000	NE
Rv2267c	-	hypothetical protein Rv2267c 	18	35	6	193	0.000100	NE
Rv2268c	cyp128	PROBABLE CYTOCHROME P450 128 CYP128 	8	25	6	274	0.078900	U
Rv2269c	-	hypothetical protein Rv2269c 	4	11	2	11	0.000000	NE
Rv2270	lppN	PROBABLE LIPOPROTEIN LPPN 	8	10	1	2	0.000000	NE
Rv2271	-	hypothetical protein Rv2271 	5	5	0	0	0.000000	NE
Rv2272	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	3	4	1	2	0.000000	NE
Rv2273	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	4	5	1	2	-1.000000	S
Rv2274c	-	hypothetical protein Rv2274c 	4	7	2	99	0.000000	NE
Rv2275	-	hypothetical protein Rv2275 	6	17	4	104	0.000000	NE
Rv2276	cyp121	CYTOCHROME P450 121 CYP121 	7	17	5	222	0.000400	NE
Rv2277c	-	Possible glycerolphosphodiesterase 	4	11	5	204	0.000200	NE
Rv2278	-	PROBABLE TRANSPOSASE 	0	0	0	0	-1.000000	S
Rv2279	-	PROBABLE TRANSPOSASE 	0	1	1	2	-1.000000	S
Rv2280	-	Probable dehydrogenase 	10	17	2	54	0.000000	NE
Rv2281	pitB	Putative phosphate-transport permease PitB 	12	23	6	468	0.616600	U
Rv2282c	-	Probable transcription regulator (lysR family) 	7	11	2	8	0.000000	NE
Rv2283	-	hypothetical protein Rv2283 	1	2	1	2	-1.000000	S
Rv2284	lipM	Probable esterase LipM 	16	26	3	100	0.000000	NE
Rv2285	-	hypothetical protein Rv2285 	15	20	2	60	0.000000	NE
Rv2286c	-	hypothetical protein Rv2286c 	6	9	2	93	0.000000	NE
Rv2287	yjcE	Probable conserved integral membrane transport protein YjcE 	11	17	3	193	0.000000	NE
Rv2288	-	hypothetical protein Rv2288 	3	4	1	2	-1.000000	S
