#HMM - Genes
#Orf	Name	Desc	N	n0	n1	n2	n3	Avg. Insertions	Avg. Reads	State Call
Rv1853	ureD	Probable urease accessory protein ureD 	5	0	0	5	0	0.6000	30.0	NE
Rv1854c	ndh	PROBABLE NADH DEHYDROGENASE NDH 	17	17	0	0	0	0.0000	0.0	ES
Rv1855c	-	POSSIBLE OXIDOREDUCTASE 	11	0	0	11	0	0.9091	256.8	NE
Rv1856c	-	short chain dehydrogenase 	4	0	0	4	0	0.7500	121.0	NE
Rv1857	modA	PROBABLE MOLYBDATE-BINDING LIPOPROTEIN MODA 	5	0	0	5	0	0.8000	295.0	NE
Rv1858	modB	PROBABLE MOLBDENUM-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER MODB 	17	0	0	17	0	0.8824	276.9	NE
Rv1859	modC	PROBABLE MOLYBDENUM-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER MODC 	16	0	0	16	0	0.7500	275.5	NE
Rv1860	apa	ALANINE AND PROLINE RICH SECRETED PROTEIN APA (FIBRONECTIN ATTACHMENT PROTEIN) (Immunogenic protein MPT32) (Antigen MPT-32) (45-kDa glycoprotein) (45/47 kDa antigen) 	14	0	0	14	0	0.7857	217.0	NE
Rv1861	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	7	0	0	7	0	0.4286	115.3	NE
Rv1862	adhA	Probable alcohol dehydrogenase adhA 	15	0	0	15	0	0.8667	356.8	NE
Rv1863c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	10	0	0	10	0	0.8000	547.6	NE
Rv1864c	-	hypothetical protein Rv1864c 	9	0	0	9	0	0.8889	790.5	NE
Rv1865c	-	short chain dehydrogenase 	12	0	0	12	0	0.8333	259.5	NE
Rv1866	-	hypothetical protein Rv1866 	32	0	0	32	0	0.4375	140.1	NE
Rv1867	-	acetyl-CoA acetyltransferase 	18	0	0	18	0	0.6667	214.4	NE
Rv1868	-	hypothetical protein Rv1868 	27	0	0	27	0	0.7037	283.3	NE
Rv1869c	-	Probable reductase 	23	0	0	23	0	0.8261	190.6	NE
Rv1870c	-	hypothetical protein Rv1870c 	10	0	0	10	0	0.8000	177.1	NE
Rv1871c	-	hypothetical protein Rv1871c 	8	0	0	8	0	0.8750	82.6	NE
Rv1872c	lldD2	POSSIBLE L-LACTATE DEHYDROGENASE (CYTOCHROME) LLDD2 	13	0	0	13	0	0.6154	625.0	NE
Rv1873	-	hypothetical protein Rv1873 	9	0	0	9	0	1.0000	497.7	NE
Rv1874	-	hypothetical protein Rv1874 	11	0	0	11	0	0.9091	314.7	NE
Rv1875	-	hypothetical protein Rv1875 	4	0	0	4	0	1.0000	216.5	NE
Rv1876	bfrA	PROBABLE BACTERIOFERRITIN BFRA 	10	0	0	10	0	0.9000	200.3	NE
Rv1877	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	30	0	0	30	0	0.9000	398.5	NE
Rv1878	glnA3	PROBABLE GLUTAMINE SYNTHETASE GLNA3 (GLUTAMINE SYNTHASE) (GS-I) 	26	0	0	26	0	0.6538	224.6	NE
Rv1879	-	hypothetical protein Rv1879 	17	0	0	17	0	0.7647	156.8	NE
Rv1880c	cyp140	Probable cytochrome p450 140 CYP140 	15	0	0	15	0	0.7333	250.1	NE
Rv1881c	lppE	POSSIBLE CONSERVED LIPOPROTEIN LPPE 	8	0	0	8	0	0.8750	241.0	NE
Rv1882c	-	short chain dehydrogenase 	14	0	0	14	0	0.9286	383.8	NE
Rv1883c	-	hypothetical protein Rv1883c 	6	0	0	6	0	1.0000	198.2	NE
Rv1884c	rpfC	PROBABLE RESUSCITATION-PROMOTING FACTOR RPFC 	5	0	0	5	0	0.8000	151.8	NE
Rv1885c	-	chorismate mutase 	9	0	0	9	0	0.6667	295.7	NE
Rv1886c	fbpB	SECRETED ANTIGEN 85-B FBPB (85B) (ANTIGEN 85 COMPLEX B) (MYCOLYL TRANSFERASE 85B) (FIBRONECTIN-BINDING PROTEIN B) (EXTRACELLULAR ALPHA-ANTIGEN) 	23	0	0	23	0	0.7826	284.1	NE
Rv1887	-	hypothetical protein Rv1887 	19	0	0	19	0	0.6842	479.7	NE
Rv1888A	-	hypothetical protein Rv1888A 	0	0	0	0	0	nan	0.0	N/A
Rv1888c	-	POSSIBLE TRANSMEMBRANE PROTEIN 	13	0	0	13	0	0.6923	248.1	NE
Rv1889c	-	hypothetical protein Rv1889c 	3	0	0	3	0	0.3333	31.0	NE
Rv1890c	-	hypothetical protein Rv1890c 	8	0	0	8	0	0.7500	268.2	NE
Rv1891	-	hypothetical protein Rv1891 	8	0	0	8	0	0.8750	117.7	NE
Rv1892	-	PROBABLE MEMBRANE PROTEIN 	7	0	0	7	0	0.5714	720.5	NE
Rv1893	-	hypothetical protein Rv1893 	0	0	0	0	0	nan	0.0	N/A
Rv1894c	-	hypothetical protein Rv1894c 	11	0	0	11	0	0.9091	641.9	NE
Rv1895	-	POSSIBLE DEHYDROGENASE 	17	0	0	17	0	0.7647	175.7	NE
Rv1896c	-	hypothetical protein Rv1896c 	21	0	0	21	0	0.5238	227.2	NE
Rv1897c	-	D-tyrosyl-tRNA deacylase 	4	0	0	4	0	0.7500	60.7	NE
Rv1898	-	hypothetical protein Rv1898 	3	0	0	3	0	0.6667	391.0	NE
Rv1899c	lppD	POSSIBLE LIPOPROTEIN LPPD 	10	0	0	10	0	1.0000	380.3	NE
Rv1900c	lipJ	PROBABLE LIGNIN PEROXIDASE LIPJ 	19	0	0	19	0	0.7895	208.5	NE
Rv1901	cinA	competence damage-inducible protein A 	17	0	0	17	0	0.8824	271.7	NE
Rv1902c	nanT	PROBABLE SIALIC ACID-TRANSPORT INTEGRAL MEMBRANE PROTEIN NANT 	30	0	0	30	0	0.6667	258.9	NE
Rv1903	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	5	0	0	5	0	1.0000	422.2	NE
Rv1904	-	hypothetical protein Rv1904 	10	0	0	10	0	0.9000	506.1	NE
Rv1905c	aao	PROBABLE D-AMINO ACID OXIDASE AAO 	17	0	0	17	0	0.9412	284.4	NE
Rv1906c	-	hypothetical protein Rv1906c 	9	0	0	9	0	0.6667	310.2	NE
Rv1907c	-	hypothetical protein Rv1907c 	10	0	0	10	0	0.6000	245.7	NE
Rv1908c	katG	CATALASE-PEROXIDASE-PEROXYNITRITASE T KATG 	34	34	0	0	0	0.0000	0.0	ES
Rv1909c	furA	FERRIC UPTAKE REGULATION PROTEIN FURA (FUR) 	9	1	0	8	0	0.3333	199.7	NE
Rv1910c	-	PROBABLE EXPORTED PROTEIN 	12	0	0	12	0	0.7500	236.6	NE
Rv1911c	lppC	PROBABLE LIPOPROTEIN LPPC 	7	0	0	7	0	0.7143	130.0	NE
Rv1912c	fadB5	POSSIBLE OXIDOREDUCTASE FADB5 	13	0	0	13	0	0.7692	108.8	NE
Rv1913	-	hypothetical protein Rv1913 	10	0	0	10	0	0.4000	85.2	NE
Rv1914c	-	hypothetical protein Rv1914c 	5	0	0	5	0	0.6000	112.0	NE
Rv1915	aceAa	PROBABLE ISOCITRATE LYASE aceAa 	21	0	0	21	0	0.8095	163.9	NE
Rv1916	aceAb	isocitrate lyase 	16	0	0	16	0	0.7500	144.8	NE
Rv1917c	PPE34	PPE FAMILY PROTEIN 	98	0	44	54	0	0.3878	235.0	NE
Rv1918c	PPE35	PPE FAMILY PROTEIN 	71	25	0	46	0	0.3521	145.7	ES
Rv1919c	-	hypothetical protein Rv1919c 	7	0	0	7	0	0.8571	365.8	NE
Rv1920	-	PROBABLE MEMBRANE PROTEIN 	11	0	0	11	0	0.7273	233.6	NE
Rv1921c	lppF	PROBABLE CONSERVED LIPOPROTEIN LPPF 	20	0	0	20	0	0.8500	294.8	NE
Rv1922	-	PROBABLE CONSERVED LIPOPROTEIN 	19	0	0	19	0	0.7368	408.4	NE
Rv1923	lipD	PROBABLE LIPASE LIPD 	28	0	0	28	0	0.8929	342.4	NE
Rv1924c	-	hypothetical protein Rv1924c 	9	0	0	9	0	0.8889	202.1	NE
Rv1925	fadD31	acyl-CoA synthetase 	34	0	0	34	0	0.7353	184.4	NE
Rv1926c	mpt63	IMMUNOGENIC PROTEIN MPT63 (ANTIGEN MPT63/MPB63) (16 kDa IMMUNOPROTECTIVE EXTRACELLULAR PROTEIN) 	8	0	0	8	0	0.7500	60.5	NE
Rv1927	-	hypothetical protein Rv1927 	16	0	0	16	0	0.8125	360.8	NE
Rv1928c	-	short chain dehydrogenase 	17	0	0	17	0	0.7059	201.7	NE
Rv1929c	-	hypothetical protein Rv1929c 	9	0	0	9	0	0.6667	194.8	NE
Rv1930c	-	hypothetical protein Rv1930c 	4	0	0	4	0	0.7500	17.0	NE
Rv1931c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	2	0	0	2	0	0.5000	287.0	NE
Rv1932	tpx	thiol peroxidase 	7	0	0	7	0	0.7143	104.8	NE
Rv1933c	fadE18	PROBABLE ACYL-CoA DEHYDROGENASE FADE18 	9	0	0	9	0	0.7778	43.9	NE
Rv1934c	fadE17	PROBABLE ACYL-CoA DEHYDROGENASE FADE17 	11	0	0	11	0	0.8182	279.3	NE
Rv1935c	echA13	enoyl-CoA hydratase 	10	0	0	10	0	0.9000	133.3	NE
Rv1936	-	POSSIBLE MONOOXYGENASE 	15	0	0	15	0	0.9333	409.0	NE
Rv1937	-	POSSIBLE OXYGENASE 	44	0	0	44	0	0.5909	239.4	NE
Rv1938	ephB	PROBABLE EPOXIDE HYDROLASE EPHB (EPOXIDE HYDRATASE) 	16	0	0	16	0	0.5625	140.8	NE
Rv1939	-	PROBABLE OXIDOREDUCTASE 	5	0	0	5	0	0.2000	337.0	NE
Rv1940	ribA1	Probable Riboflavin biosynthesis protein ribA1 (GTP cyclohydrolase II) 	8	0	0	8	0	0.6250	423.0	NE
Rv1941	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	3	0	0	3	0	0.6667	134.5	NE
Rv1942c	-	hypothetical protein Rv1942c 	2	0	0	2	0	0.5000	77.0	NE
Rv1943c	-	hypothetical protein Rv1943c 	10	0	0	10	0	0.3000	442.7	NE
Rv1944c	-	hypothetical protein Rv1944c 	7	0	0	7	0	0.8571	83.7	NE
Rv1945	-	hypothetical protein Rv1945 	10	3	0	7	0	0.4000	154.0	NE
Rv1946c	lppG	POSSIBLE LIPOPROTEIN 	7	2	0	5	0	0.7143	197.8	NE
Rv1947	-	hypothetical protein Rv1947 	3	0	0	3	0	1.0000	100.7	NE
Rv1948c	-	hypothetical protein Rv1948c 	14	0	0	14	0	0.6429	59.8	NE
Rv1949c	-	hypothetical protein Rv1949c 	17	0	0	17	0	0.6471	163.4	NE
Rv1950c	-	hypothetical protein Rv1950c 	5	0	0	5	0	1.0000	312.6	NE
Rv1951c	-	hypothetical protein Rv1951c 	5	0	0	5	0	0.6000	43.3	NE
Rv1952	-	hypothetical protein Rv1952 	2	0	0	2	0	1.0000	126.5	NE
Rv1953	-	hypothetical protein Rv1953 	9	0	0	9	0	0.4444	418.0	NE
Rv1954c	-	hypothetical protein Rv1954c 	7	0	0	7	0	1.0000	350.0	NE
Rv1955	-	hypothetical protein Rv1955 	9	0	0	9	0	0.8889	318.9	NE
Rv1956	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	8	0	0	8	0	0.6250	763.6	NE
Rv1957	-	hypothetical protein Rv1957 	13	0	0	13	0	0.6923	70.4	NE
Rv1958c	-	hypothetical protein Rv1958c 	11	0	0	11	0	0.5455	237.7	NE
Rv1959c	-	hypothetical protein Rv1959c 	5	0	0	5	0	0.6000	306.7	NE
Rv1960c	-	hypothetical protein Rv1960c 	3	0	0	3	0	0.6667	347.5	NE
Rv1961	-	hypothetical protein Rv1961 	8	0	0	8	0	1.0000	148.8	NE
Rv1962c	-	hypothetical protein Rv1962c 	13	0	0	13	0	0.7692	210.4	NE
Rv1963c	mce3R	PROBABLE TRANSCRIPTIONAL REPRESSOR (PROBABLY TETR-FAMILY) MCE3R 	16	0	0	16	0	0.4375	161.1	NE
Rv1964	yrbE3A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE3A 	6	0	0	6	0	0.8333	259.6	NE
Rv1965	yrbE3B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE3B 	13	0	0	13	0	0.6923	333.6	NE
Rv1966	mce3A	MCE-FAMILY PROTEIN MCE3A 	15	0	0	15	0	0.6667	174.0	NE
Rv1967	mce3B	MCE-FAMILY PROTEIN MCE3B 	12	0	0	12	0	0.8333	288.7	NE
Rv1968	mce3C	MCE-FAMILY PROTEIN MCE3C 	12	0	0	12	0	0.3333	183.2	NE
Rv1969	mce3D	MCE-FAMILY PROTEIN MCE3D 	13	0	0	13	0	0.7692	107.8	NE
Rv1970	lprM	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRM (MCE-FAMILY LIPOPROTEIN MCE3E) 	7	0	0	7	0	0.4286	83.0	NE
Rv1971	mce3F	MCE-FAMILY PROTEIN MCE3F 	18	0	0	18	0	0.9444	238.9	NE
Rv1972	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	4	0	0	4	0	1.0000	103.5	NE
Rv1973	-	POSSIBLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	3	0	0	3	0	0.6667	473.0	NE
Rv1974	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	0	0	8	0	1.0000	296.8	NE
Rv1975	-	hypothetical protein Rv1975 	12	0	0	12	0	0.6667	731.5	NE
Rv1976c	-	hypothetical protein Rv1976c 	3	0	0	3	0	0.6667	331.5	NE
Rv1977	-	hypothetical protein Rv1977 	12	0	0	12	0	1.0000	355.7	NE
Rv1978	-	hypothetical protein Rv1978 	13	0	0	13	0	0.9231	205.2	NE
Rv1979c	-	POSSIBLE CONSERVED PERMEASE 	33	0	0	33	0	0.7576	270.4	NE
Rv1980c	mpt64	IMMUNOGENIC PROTEIN MPT64 (ANTIGEN MPT64/MPB64) 	19	0	0	19	0	0.8421	317.1	NE
Rv1981c	nrdF	ribonucleotide-diphosphate reductase subunit beta 	23	0	0	23	0	0.7826	502.7	NE
Rv1982c	-	hypothetical protein Rv1982c 	4	0	0	4	0	0.7500	325.0	NE
Rv1983	PE_PGRS35	PE-PGRS FAMILY PROTEIN 	29	0	0	29	0	0.7241	440.0	NE
Rv1984c	cfp21	PROBABLE CUTINASE PRECURSOR CFP21 	13	0	0	13	0	0.9231	100.5	NE
Rv1985c	-	chromosome replication initiation inhibitor protein 	13	0	0	13	0	0.8462	247.2	NE
Rv1986	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	8	0	0	8	0	0.8750	136.7	NE
Rv1987	-	POSSIBLE CHITINASE 	7	0	0	7	0	0.7143	202.4	NE
Rv1988	-	PROBABLE METHYLTRANSFERASE 	6	0	0	6	0	0.8333	307.2	NE
Rv1989c	-	hypothetical protein Rv1989c 	10	0	0	10	0	1.0000	259.6	NE
Rv1990A	-	POSSIBLE DEHYDROGENASE (FRAGMENT) 	4	0	0	4	0	0.7500	152.7	NE
Rv1990c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	0	0	5	0	0.0000	0.0	NE
Rv1991c	-	hypothetical protein Rv1991c 	4	0	0	4	0	1.0000	257.8	NE
Rv1992c	ctpG	PROBABLE METAL CATION TRANSPORTER P-TYPE ATPASE G CTPG 	31	0	0	31	0	0.8387	260.1	NE
Rv1993c	-	hypothetical protein Rv1993c 	4	0	0	4	0	0.7500	580.7	NE
Rv1994c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	6	3	0	3	0	0.1667	132.0	NE
Rv1995	-	hypothetical protein Rv1995 	7	0	0	7	0	0.8571	793.3	NE
Rv1996	-	hypothetical protein Rv1996 	12	0	0	12	0	0.7500	258.1	NE
Rv1997	ctpF	PROBABLE METAL CATION TRANSPORTER P-TYPE ATPASE A CTPF 	23	0	0	23	0	0.7391	235.6	NE
Rv1998c	-	hypothetical protein Rv1998c 	17	0	0	17	0	0.5882	145.3	NE
Rv1999c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	23	0	0	23	0	0.7391	356.9	NE
Rv2000	-	hypothetical protein Rv2000 	32	0	0	32	0	0.8125	350.6	NE
Rv2001	-	hypothetical protein Rv2001 	13	0	0	13	0	0.6154	166.4	NE
Rv2002	fabG3	POSSIBLE 20-BETA-HYDROXYSTEROID DEHYDROGENASE FABG3 (Cortisone reductase) ((R)-20-hydroxysteroid dehydrogenase) 	9	0	0	9	0	0.5556	213.2	NE
Rv2003c	-	hypothetical protein Rv2003c 	12	0	0	12	0	0.5833	112.3	NE
Rv2004c	-	hypothetical protein Rv2004c 	24	0	0	24	0	0.5417	84.8	NE
Rv2005c	-	hypothetical protein Rv2005c 	10	0	0	10	0	0.6000	171.7	NE
Rv2006	otsB1	PROBABLE TREHALOSE-6-PHOSPHATE PHOSPHATASE OTSB1 (TREHALOSE-PHOSPHATASE) (TPP) 	78	0	28	50	0	0.4231	166.5	NE
Rv2007c	fdxA	PROBABLE FERREDOXIN FDXA 	7	0	0	7	0	0.8571	337.3	NE
Rv2008c	-	hypothetical protein Rv2008c 	27	0	0	27	0	0.5926	90.4	NE
Rv2009	-	hypothetical protein Rv2009 	2	0	0	2	0	0.5000	242.0	NE
Rv2010	-	hypothetical protein Rv2010 	7	0	0	7	0	0.8571	378.8	NE
Rv2011c	-	hypothetical protein Rv2011c 	6	0	0	6	0	0.8333	35.8	NE
Rv2012	-	hypothetical protein Rv2012 	10	0	0	10	0	0.7000	404.4	NE
Rv2013	-	POSSIBLE TRANSPOSASE 	2	0	0	2	0	0.0000	0.0	NE
Rv2014	-	POSSIBLE TRANSPOSASE 	4	0	0	4	0	0.7500	230.3	NE
Rv2015c	-	hypothetical protein Rv2015c 	3	0	0	3	0	0.6667	196.5	NE
Rv2016	-	hypothetical protein Rv2016 	7	0	0	7	0	0.7143	243.2	NE
Rv2017	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	12	0	0	0	0.0000	0.0	ES
Rv2018	-	hypothetical protein Rv2018 	14	0	0	14	0	0.0714	58.0	NE
Rv2019	-	hypothetical protein Rv2019 	6	0	0	6	0	1.0000	233.2	NE
Rv2020c	-	hypothetical protein Rv2020c 	4	0	0	4	0	1.0000	464.0	NE
Rv2021c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	0	0	5	0	0.6000	873.0	NE
Rv2022c	-	hypothetical protein Rv2022c 	13	0	0	13	0	0.8462	521.2	NE
Rv2023c	-	hypothetical protein Rv2023c 	2	0	0	2	0	1.0000	78.5	NE
Rv2024c	-	hypothetical protein Rv2024c 	12	0	0	12	0	0.8333	338.9	NE
Rv2025c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	0	0	10	0	0.7000	113.4	NE
Rv2026c	-	hypothetical protein Rv2026c 	9	0	0	9	0	0.3333	80.7	NE
Rv2027c	-	Probable histidine kinase response regulator 	14	0	0	14	0	0.9286	250.7	NE
Rv2028c	-	hypothetical protein Rv2028c 	11	0	0	11	0	0.6364	187.3	NE
Rv2029c	pfkB	Probable phosphofructokinase PfkB (PHOSPHOHEXOKINASE) 	9	0	0	9	0	0.8889	322.5	NE
Rv2030c	-	hypothetical protein Rv2030c 	32	0	0	32	0	0.6562	234.9	NE
Rv2031c	hspX	HEAT SHOCK PROTEIN HSPX (ALPHA-CRSTALLIN HOMOLOG) (14 kDa ANTIGEN) (HSP16.3) 	8	0	0	8	0	0.8750	241.7	NE
Rv2032	acg	Conserved hypothetical protein Acg 	17	0	0	17	0	0.5882	162.6	NE
Rv2033c	-	hypothetical protein Rv2033c 	10	0	0	10	0	0.7000	113.1	NE
Rv2034	-	Probable ArsR-type repressor protein 	2	0	0	2	0	0.5000	28.0	NE
Rv2035	-	hypothetical protein Rv2035 	12	0	0	12	0	0.7500	215.2	NE
Rv2036	-	hypothetical protein Rv2036 	7	0	0	7	0	0.5714	52.0	NE
Rv2037c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	16	0	0	16	0	0.5625	64.8	NE
Rv2038c	-	Probable sugar-transport ATP-binding protein ABC transporter 	16	0	0	16	0	0.2500	60.8	NE
Rv2039c	-	Probable sugar-transport integral membrane protein ABC transporter 	14	0	0	14	0	0.5000	80.0	NE
Rv2040c	-	Probable sugar-transport integral membrane protein ABC transporter 	16	0	0	16	0	0.5000	116.1	NE
Rv2041c	-	Probable sugar-binding lipoprotein 	21	0	0	21	0	0.7143	106.9	NE
Rv2042c	-	hypothetical protein Rv2042c 	14	0	0	14	0	0.4286	297.3	NE
Rv2043c	pncA	PYRAZINAMIDASE/NICOTINAMIDAS PNCA (PZase) 	11	0	0	11	0	0.7273	300.5	NE
Rv2044c	-	hypothetical protein Rv2044c 	7	0	0	7	0	0.7143	106.8	NE
Rv2045c	lipT	Probable carboxylesterase LipT 	27	0	0	27	0	0.5185	156.6	NE
Rv2046	lppI	Probable lipoprotein lppI 	10	0	0	10	0	0.9000	331.4	NE
Rv2047c	-	hypothetical protein Rv2047c 	30	12	0	18	0	0.1333	99.2	ES
Rv2048c	pks12	Probable polyketide synthase pks12 	111	12	89	10	0	0.1261	57.8	ES
Rv2049c	-	hypothetical protein Rv2049c 	1	0	0	1	0	1.0000	164.0	NE
Rv2050	-	hypothetical protein Rv2050 	5	5	0	0	0	0.0000	0.0	ES
Rv2051c	ppm1	Polyprenol-monophosphomannose synthase Ppm1 	32	18	0	14	0	0.3438	134.9	ES
Rv2052c	-	hypothetical protein Rv2052c 	19	0	0	19	0	0.8947	226.2	NE
Rv2053c	fxsA	FxsA 	3	0	0	3	0	0.6667	1155.5	NE
Rv2054	-	hypothetical protein Rv2054 	15	0	0	15	0	0.9333	311.4	NE
Rv2055c	rpsR	30S ribosomal protein S18 	3	0	0	3	0	0.3333	299.0	NE
Rv2056c	rpsN	30S ribosomal protein S14 	3	0	0	3	0	1.0000	10.0	NE
Rv2057c	rpmG	50S ribosomal protein L33 	4	0	0	4	0	0.7500	356.3	NE
Rv2058c	rpmB	50S ribosomal protein L28 	5	0	0	5	0	0.8000	638.0	NE
Rv2059	-	hypothetical protein Rv2059 	17	0	0	17	0	0.8824	147.3	NE
Rv2060	-	Possible conserved integral membrane protein 	3	0	0	3	0	0.6667	24.5	NE
Rv2061c	-	hypothetical protein Rv2061c 	5	0	0	5	0	0.6000	55.7	NE
Rv2062c	cobN	cobaltochelatase 	46	0	0	46	0	0.5870	120.5	NE
Rv2063	-	hypothetical protein Rv2063 	2	0	0	2	0	0.5000	4.0	NE
Rv2064	cobG	Possible cobalamin biosynthesis protein CobG 	8	0	0	8	0	0.2500	654.0	NE
Rv2065	cobH	precorrin-8X methylmutase 	5	0	0	5	0	0.8000	289.5	NE
Rv2066	cobI	Probable bifunctional protein, CobI-CobJ fusion protein: S-adenosyl-L-methionine-precorrin-2 methyl transferase + precorrin-3 methylase 	20	0	0	20	0	0.7500	347.6	NE
Rv2067c	-	hypothetical protein Rv2067c 	31	0	0	31	0	0.4839	156.1	NE
Rv2068c	blaC	CLASS A BETA-LACTAMASE BLAC 	13	0	0	13	0	0.9231	541.2	NE
Rv2069	sigC	RNA polymerase sigma factor SigC 	8	0	0	8	0	0.7500	211.2	NE
Rv2070c	cobK	cobalt-precorrin-6x reductase 	15	0	0	15	0	0.4667	137.0	NE
Rv2071c	cobM	Probable precorrin-4 C11-methyltransferase CobM 	13	0	0	13	0	0.6923	271.7	NE
Rv2072c	cobL	Probable precorrin-6y methyltransferase CobL 	13	0	0	13	0	0.9231	194.2	NE
Rv2073c	-	Probable shortchain dehydrogenase 	8	0	0	8	0	1.0000	445.0	NE
Rv2074	-	hypothetical protein Rv2074 	5	0	0	5	0	0.8000	190.0	NE
Rv2075c	-	Possible hypothetical exported or envelope protein 	23	0	0	23	0	0.9565	447.0	NE
Rv2076c	-	hypothetical protein Rv2076c 	5	0	0	5	0	0.8000	515.0	NE
Rv2077A	-	hypothetical protein Rv2077A 	7	0	0	7	0	0.5714	130.0	NE
Rv2077c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	18	0	0	18	0	0.8333	318.3	NE
Rv2078	-	hypothetical protein Rv2078 	3	0	0	3	0	0.3333	22.0	NE
Rv2079	-	hypothetical protein Rv2079 	31	0	0	31	0	0.4839	160.4	NE
Rv2080	lppJ	Possible lipoprotein lppJ 	10	0	0	10	0	0.9000	172.1	NE
Rv2081c	-	POSSIBLE TRANSMEMBRANE PROTEIN 	7	0	0	7	0	0.8571	138.0	NE
Rv2082	-	hypothetical protein Rv2082 	34	0	0	34	0	0.6176	194.0	NE
Rv2083	-	hypothetical protein Rv2083 	4	0	0	4	0	1.0000	127.8	NE
Rv2084	-	hypothetical protein Rv2084 	25	0	0	25	0	0.6800	209.2	NE
Rv2085	-	hypothetical protein Rv2085 	3	0	0	3	0	0.0000	0.0	NE
Rv2086	-	hypothetical protein Rv2086 	10	0	0	10	0	0.7000	62.9	NE
Rv2087	-	hypothetical protein Rv2087 	4	0	4	0	0	0.2500	4.0	GD
Rv2088	pknJ	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE J PKNJ (PROTEIN KINASE J) (STPK J) 	23	0	0	23	0	0.3913	88.8	NE
Rv2089c	pepE	Probable dipeptidase PepE 	19	0	0	19	0	0.5263	143.5	NE
Rv2090	-	Probable 5'-3' exonuclease 	15	0	0	15	0	0.8667	280.4	NE
Rv2091c	-	Probable membrane protein 	18	0	0	18	0	0.8333	208.5	NE
Rv2092c	helY	PROBABLE ATP-DEPENDENT DNA HELICASE HELY 	36	0	0	36	0	0.8056	305.7	NE
Rv2093c	tatC	Probable Sec-independent protein translocase transmembrane protein tatC 	11	11	0	0	0	0.0000	0.0	ES
Rv2094c	tatA	twin argininte translocase protein A 	2	2	0	0	0	0.0000	0.0	ES
Rv2095c	-	hypothetical protein Rv2095c 	14	0	0	14	0	0.8571	355.2	NE
Rv2096c	-	hypothetical protein Rv2096c 	13	0	0	13	0	0.6923	238.7	NE
Rv2097c	-	hypothetical protein Rv2097c 	20	20	0	0	0	0.0000	0.0	ES
Rv2100	-	hypothetical protein Rv2100 	18	0	0	18	0	0.7222	470.5	NE
Rv2101	helZ	PROBABLE HELICASE HELZ 	27	0	0	27	0	0.7407	454.2	NE
Rv2102	-	hypothetical protein Rv2102 	11	0	0	11	0	0.8182	338.0	NE
Rv2103c	-	hypothetical protein Rv2103c 	5	0	0	5	0	0.8000	302.8	NE
Rv2104c	-	hypothetical protein Rv2104c 	1	0	0	1	0	1.0000	42.0	NE
Rv2105	-	PROBABLE TRANSPOSASE 	0	0	0	0	0	nan	0.0	N/A
Rv2106	-	PROBABLE TRANSPOSASE 	0	0	0	0	0	nan	0.0	N/A
Rv2107	PE22	PE FAMILY PROTEIN 	9	0	0	9	0	0.6667	53.8	NE
Rv2108	PPE36	PPE FAMILY PROTEIN 	19	0	0	19	0	0.7895	264.1	NE
Rv2109c	prcA	proteasome (alpha subunit) PrcA 	17	17	0	0	0	0.0000	0.0	ES
Rv2110c	prcB	proteasome (beta subunit) PrcB 	16	16	0	0	0	0.0000	0.0	ES
Rv2111c	-	hypothetical protein Rv2111c 	1	1	0	0	0	0.0000	0.0	ES
Rv2112c	-	hypothetical protein Rv2112c 	29	27	0	0	2	0.1034	380.3	ES
Rv2113	-	Probable integral membrane protein 	11	0	0	0	11	0.8182	732.3	GA
Rv2114	-	hypothetical protein Rv2114 	12	0	0	0	12	0.9167	579.9	GA
